# Selection   : patch(inlet)
# Faces       : 1369
# Area        : 1.408977e-02
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 2.000000e-03 0.000000e+00)
0.05          	5.381407e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.1           	-1.253663e-04	(0.000000e+00 1.469717e-03 0.000000e+00)
0.15          	-6.217122e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
0.2           	1.549973e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.25          	2.535527e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.3           	2.945155e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.35          	3.093812e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.4           	3.110829e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.45          	3.059057e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.5           	2.971694e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.55          	2.865722e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.6           	2.748928e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.65          	2.626851e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.7           	2.503207e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.75          	2.380383e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.8           	2.259838e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.85          	2.142399e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.9           	2.028807e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
0.95          	1.919251e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1             	1.814002e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.05          	1.713105e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.1           	1.616595e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.15          	1.524471e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.2           	1.436673e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.25          	1.353061e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.3           	1.273606e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.35          	1.198191e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.4           	1.126618e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.45          	1.058777e-05	(0.000000e+00 1.469717e-03 0.000000e+00)
1.5           	9.945822e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.55          	9.338658e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.6           	8.764757e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.65          	8.222621e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.7           	7.710980e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.75          	7.228572e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.8           	6.773942e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.85          	6.346140e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
1.9           	5.943848e-06	(0.000000e+00 1.469717e-03 0.000000e+00)
