# Selection   : patch(inlet)
# Faces       : 1433
# Area        : 1.494412e-02
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 7.600000e-03 0.000000e+00)
1             	1.676603e-02	(0.000000e+00 5.462653e-03 0.000000e+00)
2             	1.479409e-02	(0.000000e+00 5.462653e-03 0.000000e+00)
3             	4.982806e-03	(0.000000e+00 5.462653e-03 0.000000e+00)
4             	3.348065e-03	(0.000000e+00 5.462653e-03 0.000000e+00)
5             	1.629143e-03	(0.000000e+00 5.462653e-03 0.000000e+00)
6             	1.475882e-03	(0.000000e+00 5.462653e-03 0.000000e+00)
7             	9.043629e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
8             	7.957629e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
9             	7.007670e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
10            	6.183865e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
11            	5.471427e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
12            	4.913240e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
13            	4.325941e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
14            	3.738911e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
15            	3.198732e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
16            	2.634217e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
17            	2.123911e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
18            	1.622275e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
19            	1.130892e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
20            	7.026839e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
21            	2.898463e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
22            	-3.695363e-06	(0.000000e+00 5.462653e-03 0.000000e+00)
23            	-3.268434e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
24            	-5.592404e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
25            	-7.419650e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
26            	-8.786476e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
27            	-9.705409e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
28            	-1.021508e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
29            	-1.035217e-04	(0.000000e+00 5.462653e-03 0.000000e+00)
30            	-9.961193e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
31            	-9.517055e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
32            	-8.842522e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
33            	-6.526267e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
34            	-5.547024e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
35            	-2.445403e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
36            	-1.523522e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
37            	1.463666e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
38            	2.279756e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
39            	4.714767e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
40            	5.194798e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
41            	6.085931e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
42            	6.568022e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
43            	6.721272e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
44            	6.722053e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
45            	6.636604e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
46            	6.073200e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
47            	5.772928e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
48            	4.629848e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
49            	4.237245e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
50            	3.112747e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
51            	2.724943e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
52            	1.685976e-05	(0.000000e+00 5.462653e-03 0.000000e+00)
53            	8.806628e-06	(0.000000e+00 5.462653e-03 0.000000e+00)
54            	6.682781e-06	(0.000000e+00 5.462653e-03 0.000000e+00)
55            	2.254610e-06	(0.000000e+00 5.462653e-03 0.000000e+00)
56            	1.231220e-06	(0.000000e+00 5.462653e-03 0.000000e+00)
57            	-4.711285e-09	(0.000000e+00 5.462653e-03 0.000000e+00)
58            	-5.510723e-07	(0.000000e+00 5.462653e-03 0.000000e+00)
