# Selection   : patch(inlet)
# Faces       : 1369
# Area        : 1.408977e-02
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 2.000000e-03 0.000000e+00)
0.005         	5.590154e-02	(0.000000e+00 1.469717e-03 0.000000e+00)
0.01          	-4.388483e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.015         	3.642173e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.02          	-1.737734e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.025         	1.874576e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.03          	-1.730734e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.035         	3.218750e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.04          	-4.509378e-03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.045         	1.593363e-02	(0.000000e+00 1.469717e-03 0.000000e+00)
0.05          	-3.349974e-01	(0.000000e+00 1.469717e-03 0.000000e+00)
0.055         	-3.201223e+01	(0.000000e+00 1.469717e-03 0.000000e+00)
0.06          	1.511764e+03	(0.000000e+00 1.469717e-03 0.000000e+00)
0.065         	4.594807e+04	(0.000000e+00 1.469717e-03 0.000000e+00)
0.07          	-2.740396e+07	(0.000000e+00 1.469717e-03 0.000000e+00)
0.075         	1.137356e+13	(0.000000e+00 1.469717e-03 0.000000e+00)
